  sqrt(r)    P(nl;r)
  1s
    1.4468       0.568
    1.4927       0.569
    1.5401       0.567
    1.5890       0.560
    1.6394       0.549
    1.6915       0.534
    1.7452       0.516
    1.8006       0.493
    1.8577       0.467
    1.9167       0.438
    1.9775       0.406
    2.0403       0.372
    2.1051       0.338
    2.1719       0.302
    2.2408       0.267
    2.3120       0.232
    2.3854       0.200
    2.4611       0.169
    2.5392       0.140
    2.6198       0.114
    2.7030       0.092
    2.7888       0.072
    2.8773       0.055
    2.9686       0.042
    3.0629       0.030
    3.1601       0.022
    3.2604       0.015
    3.3639       0.010
    3.4707       0.007
    3.5809       0.004
    3.6945       0.003
    3.8118       0.002
    3.9328       0.001
